"","TR","SUBID","order","CONN_ID","stim_number","stim_name","artist","yearofrelease","liking","yearofbirth","familiarity","SSA","age_bin","TR_onset","second_onset","memory.evoking.","ID","PC_univ","HC_univ"
"39353",845,"FKEE",15,1,5,"Hey Jude","The Beatles","1970",NA,1963,4,7,"childhood",841,399.475,"",14,227.39,193.35
"39354",845,"GCAS",15,11,18,"Hoquetus II","Johannes Kretz","",NA,1947,1,NA,"",841,399.475,"",15,238.73,223.44
"39355",845,"GSHA",15,19,8,"Symphony No. 2 Finale","Mahler","",NA,1955,1,NA,"",841,399.475,"",16,222.67,176.85
"39356",845,"JDEN",15,27,22,"Simmer","Hubert Ho","",2,1968,1,NA,"",841,399.475,"",17,212.75,199.48
"39357",845,"JKAY",15,13,22,"Simmer","Hubert Ho","",NA,1950,0,NA,"",841,399.475,"",18,232.86,200.83
"39358",845,"JPRE",15,6,16,"Symphony No. 6 mvmt 1","Tchaikovsky","",4,1944,4,NA,"",841,399.475,"",19,206.99,166.12
"39359",845,"JSCH",15,2,2,"My Old School","Steely Dan","1973",NA,1951,4,22,"adulthood",841,399.475,"",20,227.19,211.84
"39360",845,"LDIR",15,5,9,"Cavatina Op. 130","Beethoven","",NA,1956,1,NA,"",841,399.475,"",21,218.56,178.7
"39361",845,"LGEN",15,3,8,"Symphony No. 2 Finale","Mahler","",NA,1955,3,NA,"",841,399.475,"",22,213.77,147.25
"39362",845,"LJAC",15,17,24,"Manual Labor","Hubert Ho","",NA,1952,1,NA,"",841,399.475,"",23,246.8,193.76
"39363",845,"LOLE",15,14,6,"The Frst Time I Ever Saw Your Face","Peter, Paul, and Mary","1965",NA,1946,4,19,"",841,399.475,"",24,232.79,188.51
"39364",845,"MBLO",15,8,13,"Reckoner","Radiohead","",NA,1953,2,NA,"",841,399.475,"",25,231.71,208.69
"39365",845,"MCOR",15,31,6,"Kalu","Dalva de Oliveira","1952",3,1964,4,-12,"",841,399.475,"",35,225.33,205.45
"39366",845,"NLEN",15,24,24,"Manual Labor","Hubert Ho","",3,1942,2,NA,"",841,399.475,"",26,197.84,176.71
"39367",845,"OADE",15,29,22,"Africa","Toto","1982",4,1970,4,12,"childhood",841,399.475,"y",27,230.59,215.43
"39368",845,"SCAE",15,15,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1965,4,-1,"",841,399.475,"",28,240.07,177.09
"39369",845,"TCIE",15,10,20,"Beyond the Horizon","Georg Hajdu","",NA,1960,2,NA,"",841,399.475,"",29,214.58,166.57
"39370",845,"TSTA",15,23,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1959,4,5,"childhood",841,399.475,"",30,237.57,189.42
"39371",846,"190904GHER1",15,4,14,"Nocturne in C Sharp minor","Chopin","",NA,1953,3,NA,"",841,399.475,"",1,204.96,189.43
"39372",846,"220914GHER1",15,26,15,"Nessun Dorma","Bocelli","",1,1952,2,NA,"",841,399.475,"",2,246.44,186.5
"39373",846,"AEHR",15,20,7,"Adagio for Strings","Barber","",NA,1960,1,NA,"",841,399.475,"",3,230.16,212.42
"39374",846,"ASHA",15,18,16,"Symphony No. 6 mvmt 1","Tchaikovsky","",NA,1951,2,NA,"",841,399.475,"",4,210.02,163.31
"39375",846,"BFOR",15,22,10,"John Wayne Gacy Jr.","Sufjan Stevens","",NA,1944,1,NA,"",841,399.475,"",5,212.09,166.28
"39376",846,"CWEI",15,7,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1941,4,23,"adulthood",841,399.475,"",6,206.18,163.6
"39377",846,"DFAI",15,12,8,"Symphony No. 2 Finale","Mahler","",NA,1953,1,NA,"",841,399.475,"",7,248.18,201.99
"39378",846,"DMET",15,30,3,"Like a Rolling Stone","Bob Dylan","1965",4,1951,4,14,"adolescence",841,399.475,"y (?)",8,210.77,187.96
"39379",846,"DMUN",15,25,14,"Nocturne in C Sharp minor","Chopin","",4,1968,4,NA,"",841,399.475,"",9,212.97,180.42
"39380",846,"EHER",15,16,24,"Manual Labor","Hubert Ho","",NA,1958,1,NA,"",841,399.475,"",10,240.1,242.46
"39381",846,"EKAS",15,28,4,"Patience","Tame Impala","2020",4,1957,4,63,"",841,399.475,"",11,208.25,192.95
"39382",846,"ELAR",15,21,7,"Adagio for Strings","Barber","",NA,1959,2,NA,"",841,399.475,"",12,244.93,182.21
"39383",846,"EROS",15,9,18,"Hoquetus II","Johannes Kretz","",NA,1961,1,NA,"",841,399.475,"",13,214.13,186.98
